Energy LH 	 ILH 	 Energy LV 	 ILV 	 FLH 	 FLV 	 IXMCD 	 FXMCD 	 IXMCDR 	 FXMCDR 
718.602856	 0.043789	 718.316073	 0.026095	 0.000000	 0.000000	 0.017695	 0.000000	 0.253199	 nan
718.800887	 0.052811	 718.523725	 0.032214	 0.000000	 0.000000	 0.020597	 0.000000	 0.242250	 nan
719.000873	 0.062175	 718.727752	 0.039314	 0.000000	 0.000000	 0.022862	 0.000000	 0.225262	 nan
719.220833	 0.069918	 718.922947	 0.046456	 0.000000	 0.000000	 0.023462	 0.000000	 0.201605	 nan
719.448429	 0.074618	 719.138723	 0.051915	 0.000000	 0.000000	 0.022703	 0.000000	 0.179422	 nan
719.672582	 0.076338	 719.358546	 0.054003	 0.000000	 0.000000	 0.022334	 0.000000	 0.171352	 nan
719.875290	 0.076011	 719.580182	 0.053576	 0.000000	 0.000000	 0.022435	 0.000000	 0.173129	 nan
720.075195	 0.074146	 719.799431	 0.051956	 0.000000	 0.000000	 0.022190	 0.000000	 0.175970	 nan
720.281271	 0.070798	 719.999690	 0.049915	 0.000000	 0.000000	 0.020884	 0.000000	 0.173001	 nan
720.497852	 0.066394	 720.200395	 0.047319	 0.000000	 0.000000	 0.019076	 0.000000	 0.167754	 nan
720.711584	 0.061549	 720.413113	 0.044353	 0.000000	 0.000000	 0.017196	 0.000000	 0.162377	 nan
720.900817	 0.057025	 720.621686	 0.041396	 0.000000	 0.000000	 0.015629	 0.000000	 0.158800	 nan
721.092062	 0.053090	 720.827007	 0.038687	 0.000000	 0.000000	 0.014404	 0.000000	 0.156941	 nan
721.293086	 0.049546	 721.019846	 0.036325	 0.000000	 0.000000	 0.013221	 0.000000	 0.153964	 nan
721.502443	 0.046757	 721.206655	 0.034084	 0.000000	 0.000000	 0.012673	 0.000000	 0.156761	 nan
721.714399	 0.044613	 721.417091	 0.032329	 0.000000	 0.000000	 0.012283	 0.000000	 0.159644	 nan
721.926141	 0.043140	 721.625677	 0.031102	 0.000000	 0.000000	 0.012038	 0.000000	 0.162148	 nan
722.128134	 0.042231	 721.836356	 0.030244	 0.000000	 0.000000	 0.011987	 0.000000	 0.165401	 nan
722.330126	 0.041628	 722.045520	 0.029593	 0.000000	 0.000000	 0.012035	 0.000000	 0.168979	 nan
722.519355	 0.041277	 722.240473	 0.029256	 0.000000	 0.000000	 0.012021	 0.000000	 0.170427	 nan
722.729587	 0.041089	 722.445466	 0.029119	 0.000000	 0.000000	 0.011970	 0.000000	 0.170492	 nan
722.944237	 0.041229	 722.655206	 0.029168	 0.000000	 0.000000	 0.012061	 0.000000	 0.171331	 nan
723.151037	 0.041517	 722.865746	 0.029269	 0.000000	 0.000000	 0.012247	 0.000000	 0.173019	 nan
723.344315	 0.041847	 723.072448	 0.029502	 0.000000	 0.000000	 0.012345	 0.000000	 0.173026	 nan
723.543470	 0.042259	 723.261216	 0.029881	 0.000000	 0.000000	 0.012378	 0.000000	 0.171579	 nan
723.749194	 0.042904	 723.455461	 0.030336	 0.000000	 0.000000	 0.012568	 0.000000	 0.171600	 nan
