Q 	 ICP 	  ICN 	 ILH 	 ILV 	 IXMCDR  
0.175739	 1.6497e-14	 1.5865e-14	 1.7509e-14	 1.3536e-14	 6.32e-16	 0.0195291
0.176951	 1.4537e-14	 1.3939e-14	 1.5393e-14	 1.1854e-14	 5.98e-16	 0.0210001
0.178163	 1.2772e-14	 1.2197e-14	 1.3512e-14	 1.0352e-14	 5.75e-16	 0.0230286
0.179373	 1.1122e-14	 1.0575e-14	 1.1724e-14	 8.9755e-15	 5.47e-16	 0.0252109
0.180584	 9.6763e-15	 9.1797e-15	 1.0216e-14	 7.7927e-15	 4.966e-16	 0.0263364
0.181793	 8.5209e-15	 8.0961e-15	 9.0441e-15	 6.8651e-15	 4.248e-16	 0.0255642
0.183003	 7.5249e-15	 7.1432e-15	 7.981e-15	 6.0422e-15	 3.817e-16	 0.0260225
0.184211	 6.8955e-15	 6.5222e-15	 7.3104e-15	 5.5096e-15	 3.733e-16	 0.0278215
0.185419	 6.456e-15	 6.1593e-15	 6.9093e-15	 5.1801e-15	 2.967e-16	 0.0235191
0.186627	 6.2143e-15	 5.9595e-15	 6.6807e-15	 4.9881e-15	 2.548e-16	 0.0209302
0.187834	 6.048e-15	 5.8478e-15	 6.559e-15	 4.8642e-15	 2.002e-16	 0.0168295
0.18904	 5.7514e-15	 5.61e-15	 6.2827e-15	 4.643e-15	 1.414e-16	 0.0124456
0.190246	 5.4183e-15	 5.3133e-15	 5.9398e-15	 4.3856e-15	 1.05e-16	 0.00978419
0.191451	 4.9193e-15	 4.8585e-15	 5.4461e-15	 3.9976e-15	 6.08e-17	 0.00621817
0.192655	 4.3239e-15	 4.2984e-15	 4.8166e-15	 3.5238e-15	 2.55e-17	 0.00295745
0.193859	 3.6843e-15	 3.6914e-15	 3.7993e-15	 3.0158e-15	 -7.1e-18	 -0.00096262
0.195063	 2.8304e-15	 2.843e-15	 3.2022e-15	 2.4505e-15	 -1.26e-17	 -0.00222089
0.196266	 2.3007e-15	 2.3108e-15	 2.5945e-15	 1.9797e-15	 -1.01e-17	 -0.00219018
0.197468	 1.8937e-15	 1.9027e-15	 2.1357e-15	 1.5026e-15	 -9e-18	 -0.00237067
0.19867	 1.6567e-15	 1.6553e-15	 1.8597e-15	 1.3088e-15	 1.4e-18	 0.000422705
0.199871	 1.6218e-15	 1.5987e-15	 1.8112e-15	 1.2562e-15	 2.31e-17	 0.0071728
0.201071	 1.7498e-15	 1.7047e-15	 1.9352e-15	 1.3369e-15	 4.51e-17	 0.0130554
0.202271	 2.0696e-15	 2.0022e-15	 2.2766e-15	 1.5706e-15	 6.74e-17	 0.0165529
0.20347	 2.5337e-15	 2.4487e-15	 2.7965e-15	 1.9e-15	 8.5e-17	 0.0170601
0.204668	 3.1088e-15	 2.9965e-15	 3.4439e-15	 2.3592e-15	 1.123e-16	 0.0183939
0.205866	 3.6476e-15	 3.5307e-15	 4.1686e-15	 2.8625e-15	 1.169e-16	 0.0162852
0.207064	 4.2647e-15	 4.1396e-15	 4.7476e-15	 3.268e-15	 1.251e-16	 0.0148852
0.20826	 4.7068e-15	 4.5947e-15	 5.2761e-15	 3.6154e-15	 1.121e-16	 0.0120518
0.209456	 4.9629e-15	 4.8657e-15	 5.6042e-15	 3.8165e-15	 9.72e-17	 0.00988951
0.210652	 4.9984e-15	 4.915e-15	 5.6828e-15	 3.8687e-15	 8.34e-17	 0.00841286
0.211847	 4.8571e-15	 4.7799e-15	 5.5435e-15	 3.7565e-15	 7.72e-17	 0.00801079
0.213041	 4.4487e-15	 4.3771e-15	 5.0865e-15	 3.4453e-15	 7.16e-17	 0.00811258
0.214234	 3.9383e-15	 3.8788e-15	 4.5184e-15	 3.0486e-15	 5.95e-17	 0.00761152
0.215427	 3.3547e-15	 3.3074e-15	 3.8605e-15	 2.5986e-15	 4.73e-17	 0.00709986
0.216619	 2.7613e-15	 2.7202e-15	 3.1859e-15	 2.1384e-15	 4.11e-17	 0.00749795
0.217811	 2.2093e-15	 2.1788e-15	 2.5594e-15	 1.7131e-15	 3.05e-17	 0.00695062
0.219002	 1.6942e-15	 1.6689e-15	 1.969e-15	 1.3129e-15	 2.53e-17	 0.00752282
0.220192	 1.2621e-15	 1.2459e-15	 1.4712e-15	 9.8125e-16	 1.62e-17	 0.00645933
0.221381	 9.1588e-16	 9.0461e-16	 1.0717e-15	 7.1521e-16	 1.127e-17	 0.00619064
0.22257	 6.571e-16	 6.5099e-16	 7.7466e-16	 5.1938e-16	 6.11e-18	 0.00467093
0.223758	 4.9044e-16	 4.9495e-16	 5.7512e-16	 3.999e-16	 -4.51e-18	 -0.00457687
0.224946	 4.2174e-16	 4.2344e-16	 5.0704e-16	 3.4059e-16	 -1.7e-18	 -0.00201141
0.226132	 4.5881e-16	 4.6211e-16	 5.5591e-16	 3.6859e-16	 -3.3e-18	 -0.00358337
0.227319	 5.6912e-16	 5.825e-16	 6.9332e-16	 4.5865e-16	 -1.338e-17	 -0.0116184
0.228504	 7.5956e-16	 7.7756e-16	 8.9689e-16	 6.0198e-16	 -1.8e-17	 -0.0117102
0.229689	 9.4723e-16	 9.7301e-16	 1.1372e-15	 7.1717e-16	 -2.578e-17	 -0.0134254
0.230873	 1.075e-15	 1.1078e-15	 1.3202e-15	 8.2119e-16	 -3.28e-17	 -0.0150266
0.232056	 1.1327e-15	 1.1734e-15	 1.3939e-15	 8.6054e-16	 -4.07e-17	 -0.0176488
0.233239	 1.0995e-15	 1.1442e-15	 1.3606e-15	 8.3788e-16	 -4.47e-17	 -0.0199224
0.23442	 9.8396e-16	 1.0273e-15	 1.222e-15	 7.5477e-16	 -4.334e-17	 -0.0215487
0.235602	 8.1114e-16	 8.5532e-16	 1.0155e-15	 6.2841e-16	 -4.418e-17	 -0.0265113
0.236782	 6.0498e-16	 6.432e-16	 7.6428e-16	 4.7907e-16	 -3.822e-17	 -0.0306206
0.237962	 4.1466e-16	 4.4445e-16	 5.2945e-16	 3.3666e-16	 -2.979e-17	 -0.0346754
0.239141	 2.6196e-16	 2.8066e-16	 3.3745e-16	 2.2109e-16	 -1.87e-17	 -0.0344624
0.240319	 1.6079e-16	 1.6857e-16	 2.0728e-16	 1.4247e-16	 -7.78e-18	 -0.0236216
0.241497	 1.2324e-16	 1.1972e-16	 1.5695e-16	 1.0251e-16	 3.52e-18	 0.014488
0.242673	 1.1753e-16	 1.026e-16	 1.3854e-16	 9.9591e-17	 1.493e-17	 0.0678236
0.24385	 1.6934e-16	 1.455e-16	 1.9619e-16	 1.3172e-16	 2.384e-17	 0.075721
0.245025	 2.6696e-16	 2.3431e-16	 3.1034e-16	 1.9613e-16	 3.265e-17	 0.0651346
0.246199	 4.2834e-16	 3.8233e-16	 5.0244e-16	 2.9407e-16	 4.601e-17	 0.0567555
0.247373	 5.9695e-16	 5.4812e-16	 7.1222e-16	 4.2342e-16	 4.883e-17	 0.0426437
0.248546	 8.3976e-16	 7.8409e-16	 1.0012e-15	 5.6764e-16	 5.567e-17	 0.0342827
0.249719	 1.085e-15	 1.0243e-15	 1.2999e-15	 7.3034e-16	 6.07e-17	 0.0287773
0.25089	 1.3105e-15	 1.2573e-15	 1.5928e-15	 8.9394e-16	 5.32e-17	 0.0207181
0.252061	 1.5241e-15	 1.4533e-15	 1.8523e-15	 1.0562e-15	 7.08e-17	 0.0237791
0.253231	 1.6798e-15	 1.6197e-15	 2.0138e-15	 1.1752e-15	 6.01e-17	 0.0182149
0.2544	 1.7372e-15	 1.6805e-15	 2.1301e-15	 1.2055e-15	 5.67e-17	 0.0165901
0.255569	 1.7217e-15	 1.6659e-15	 2.1037e-15	 1.1903e-15	 5.58e-17	 0.0164718
0.256736	 1.6363e-15	 1.5855e-15	 2.002e-15	 1.1303e-15	 5.08e-17	 0.0157676
