Energy CP 	 ICP 	 Energy CN 	 ICN 	 FLH 	 FLV 	 IXMCD 	 FXMCD 	 IXMCDR 	 FXMCDR 
645.296292	 0.223258	 645.081187	 0.210789	 0.000000	 0.000000	 0.012469	 0.000000	 0.028727	 nan
645.498028	 0.221084	 645.275903	 0.208248	 0.000000	 0.000000	 0.012835	 0.000000	 0.029896	 nan
645.712304	 0.219689	 645.479195	 0.206113	 0.000000	 0.000000	 0.013576	 0.000000	 0.031883	 nan
645.922865	 0.219084	 645.690511	 0.205189	 0.000000	 0.000000	 0.013895	 0.000000	 0.032750	 nan
646.116701	 0.218795	 645.898203	 0.205016	 0.000000	 0.000000	 0.013779	 0.000000	 0.032513	 nan
646.308174	 0.219285	 646.096264	 0.205429	 0.000000	 0.000000	 0.013856	 0.000000	 0.032625	 nan
646.504623	 0.220368	 646.290109	 0.206087	 0.000000	 0.000000	 0.014280	 0.000000	 0.033486	 nan
646.702956	 0.222017	 646.488694	 0.207562	 0.000000	 0.000000	 0.014456	 0.000000	 0.033651	 nan
646.885225	 0.223941	 646.682533	 0.209621	 0.000000	 0.000000	 0.014320	 0.000000	 0.033028	 nan
647.066401	 0.226914	 646.862214	 0.212224	 0.000000	 0.000000	 0.014690	 0.000000	 0.033453	 nan
647.258384	 0.231613	 647.051355	 0.215533	 0.000000	 0.000000	 0.016079	 0.000000	 0.035960	 nan
647.470087	 0.238526	 647.235109	 0.220653	 0.000000	 0.000000	 0.017873	 0.000000	 0.038924	 nan
647.682262	 0.248101	 647.443116	 0.228464	 0.000000	 0.000000	 0.019637	 0.000000	 0.041205	 nan
647.880592	 0.262282	 647.658050	 0.239520	 0.000000	 0.000000	 0.022762	 0.000000	 0.045360	 nan
648.082875	 0.284481	 647.856797	 0.255415	 0.000000	 0.000000	 0.029066	 0.000000	 0.053836	 nan
648.296407	 0.316037	 648.059498	 0.280181	 0.000000	 0.000000	 0.035855	 0.000000	 0.060138	 nan
648.512236	 0.349626	 648.266975	 0.316513	 0.000000	 0.000000	 0.033112	 0.000000	 0.049708	 nan
648.716974	 0.371751	 648.479284	 0.358673	 0.000000	 0.000000	 0.013077	 0.000000	 0.017904	 nan
648.912665	 0.382768	 648.693267	 0.390842	 0.000000	 0.000000	 -0.008074	 0.000000	 -0.010437	 nan
649.121354	 0.400931	 648.892740	 0.410779	 0.000000	 0.000000	 -0.009848	 0.000000	 -0.012132	 nan
649.342971	 0.435851	 649.091756	 0.435253	 0.000000	 0.000000	 0.000597	 0.000000	 0.000686	 nan
649.557565	 0.468529	 649.316432	 0.475495	 0.000000	 0.000000	 -0.006967	 0.000000	 -0.007380	 nan
649.764064	 0.494047	 649.534620	 0.514877	 0.000000	 0.000000	 -0.020829	 0.000000	 -0.020645	 nan
649.964139	 0.515538	 649.744862	 0.546572	 0.000000	 0.000000	 -0.031033	 0.000000	 -0.029218	 nan
650.176247	 0.527426	 649.943818	 0.576640	 0.000000	 0.000000	 -0.049214	 0.000000	 -0.044576	 nan
650.394860	 0.530367	 650.152972	 0.598952	 0.000000	 0.000000	 -0.068585	 0.000000	 -0.060732	 nan
650.599086	 0.532829	 650.367084	 0.611748	 0.000000	 0.000000	 -0.078919	 0.000000	 -0.068950	 nan
650.787737	 0.535262	 650.576025	 0.619780	 0.000000	 0.000000	 -0.084518	 0.000000	 -0.073173	 nan
650.974417	 0.531938	 650.771475	 0.626052	 0.000000	 0.000000	 -0.094113	 0.000000	 -0.081273	 nan
651.172087	 0.521240	 650.955489	 0.625708	 0.000000	 0.000000	 -0.104468	 0.000000	 -0.091083	 nan
651.372585	 0.507180	 651.150778	 0.616645	 0.000000	 0.000000	 -0.109465	 0.000000	 -0.097404	 nan
651.563859	 0.484802	 651.352135	 0.601906	 0.000000	 0.000000	 -0.117103	 0.000000	 -0.107760	 nan
651.748315	 0.453472	 651.543640	 0.576253	 0.000000	 0.000000	 -0.122780	 0.000000	 -0.119236	 nan
651.946159	 0.426038	 651.731865	 0.540467	 0.000000	 0.000000	 -0.114430	 0.000000	 -0.118395	 nan
652.155182	 0.408174	 651.925627	 0.507039	 0.000000	 0.000000	 -0.098866	 0.000000	 -0.108025	 nan
652.353561	 0.393965	 652.132359	 0.483417	 0.000000	 0.000000	 -0.089452	 0.000000	 -0.101953	 nan
652.544919	 0.378735	 652.333395	 0.464469	 0.000000	 0.000000	 -0.085735	 0.000000	 -0.101677	 nan
652.750823	 0.360724	 652.528919	 0.444068	 0.000000	 0.000000	 -0.083344	 0.000000	 -0.103559	 nan
652.977962	 0.342943	 652.726893	 0.422195	 0.000000	 0.000000	 -0.079252	 0.000000	 -0.103579	 nan
