photonEnergy	Refl_sample	Phase_Sample	Refl_Monochromator	Phase_Monochromator	ReflSample_cc_ReflMono2	
-9.22	3.86598491605e-05	3.33003209413	6.50711328425e-05	3.4143631007	4.09037255129e-05	
-9.2	3.88253641717e-05	3.33002711271	6.53459535834e-05	3.41434991032	4.10840990038e-05	
-9.18	3.89919444198e-05	3.33002211007	6.56225190634e-05	3.41433666447	4.12656506563e-05	
-9.16	3.91595990654e-05	3.33001708608	6.59008440831e-05	3.4143233628	4.14483923411e-05	
-9.14	3.93283373682e-05	3.33001204059	6.61809436005e-05	3.41431000496	4.1632335912e-05	
-9.12	3.94981686875e-05	3.33000697347	6.6462832733e-05	3.41429659058	4.18174932226e-05	
-9.1	3.96691024843e-05	3.33000188458	6.67465267587e-05	3.41428311931	4.20038761422e-05	
-9.08	3.98411483221e-05	3.32999677378	6.70320411199e-05	3.41426959079	4.2191496569e-05	
-9.06	4.00143158677e-05	3.32999164093	6.73193914238e-05	3.41425600465	4.23803664424e-05	
-9.04	4.01886148941e-05	3.32998648588	6.7608593446e-05	3.41424236052	4.2570497754e-05	
-9.02	4.03640552803e-05	3.32998130848	6.78996631308e-05	3.41422865802	4.27619025566e-05	
-9.0	4.05406470137e-05	3.3299761086	6.81926165953e-05	3.41421489679	4.29545929735e-05	
-8.98	4.07184001913e-05	3.32997088609	6.84874701307e-05	3.41420107645	4.31485812063e-05	
-8.96	4.08973250203e-05	3.3299656408	6.87842402046e-05	3.41418719661	4.3343879542e-05	
-8.94	4.10774318212e-05	3.32996037258	6.90829434634e-05	3.41417325689	4.35405003594e-05	
-8.92	4.12587310279e-05	3.32995508127	6.93835967347e-05	3.4141592569	4.37384561356e-05	
-8.9	4.14412331894e-05	3.32994976673	6.96862170293e-05	3.41414519624	4.39377594513e-05	
-8.88	4.16249489726e-05	3.32994442881	6.99908215443e-05	3.41413107453	4.41384229962e-05	
-8.86	4.1809889162e-05	3.32993906734	7.02974276652e-05	3.41411689136	4.43404595735e-05	
-8.84	4.19960646625e-05	3.32993368217	7.06060529679e-05	3.41410264634	4.4543882105e-05	
-8.82	4.21834865005e-05	3.32992827315	7.09167152218e-05	3.41408833905	4.47487036352e-05	
-8.8	4.23721658259e-05	3.32992284012	7.12294323926e-05	3.41407396909	4.49549373353e-05	
-8.78	4.25621139132e-05	3.32991738291	7.15442226439e-05	3.41405953605	4.51625965074e-05	
-8.76	4.27533421644e-05	3.32991190137	7.18611043408e-05	3.4140450395	4.5371694588e-05	
-8.74	4.2945862109e-05	3.32990639532	7.21800960522e-05	3.41403047904	4.55822451519e-05	
-8.72	4.3139685407e-05	3.32990086462	7.25012165536e-05	3.41401585422	4.57942619154e-05	
-8.7	4.33348238498e-05	3.32989530908	7.28244848295e-05	3.41400116464	4.60077587399e-05	
-8.68	4.35312893636e-05	3.32988972854	7.31499200767e-05	3.41398640985	4.62227496354e-05	
-8.66	4.37290940087e-05	3.32988412284	7.34775417074e-05	3.41397158942	4.64392487633e-05	
-8.64	4.39282499833e-05	3.32987849181	7.38073693507e-05	3.41395670291	4.66572704399e-05	
-8.62	4.41287696255e-05	3.32987283526	7.41394228574e-05	3.41394174988	4.68768291397e-05	
-8.6	4.43306654131e-05	3.32986715303	7.44737223016e-05	3.41392672989	4.70979394982e-05	
-8.58	4.45339499683e-05	3.32986144494	7.48102879844e-05	3.41391164247	4.73206163149e-05	
-8.56	4.47386360577e-05	3.32985571081	7.51491404366e-05	3.41389648718	4.75448745568e-05	
-8.54	4.49447365949e-05	3.32984995048	7.54903004224e-05	3.41388126356	4.77707293612e-05	
-8.52	4.51522646426e-05	3.32984416374	7.58337889418e-05	3.41386597114	4.79981960385e-05	
-8.5	4.53612334151e-05	3.32983835044	7.61796272345e-05	3.41385060946	4.82272900757e-05	
-8.48	4.55716562795e-05	3.32983251037	7.6527836783e-05	3.41383517804	4.8458027139e-05	
-8.46	4.57835467584e-05	3.32982664336	7.68784393156e-05	3.41381967641	4.86904230772e-05	
-8.44	4.5996918532e-05	3.32982074921	7.72314568102e-05	3.41380410409	4.89244939245e-05	
-8.42	4.62117854401e-05	3.32981482775	7.75869114978e-05	3.41378846059	4.91602559038e-05	
-8.4	4.64281614849e-05	3.32980887878	7.79448258654e-05	3.41377274543	4.93977254294e-05	
-8.38	4.66460608327e-05	3.3298029021	7.830522266e-05	3.41375695811	4.96369191107e-05	
-8.36	4.68654978163e-05	3.32979689753	7.86681248928e-05	3.41374109813	4.98778537548e-05	
-8.34	4.70864869374e-05	3.32979086486	7.90335558416e-05	3.41372516499	5.01205463698e-05	
-8.32	4.73090428695e-05	3.3297848039	7.94015390553e-05	3.41370915818	5.03650141683e-05	
-8.3	4.75331804596e-05	3.32977871446	7.97720983576e-05	3.4136930772	5.06112745704e-05	
-8.28	4.77589147309e-05	3.32977259632	8.01452578511e-05	3.41367692151	5.08593452068e-05	
-8.26	4.79862608857e-05	3.32976644929	8.05210419205e-05	3.41366069061	5.11092439224e-05	
-8.24	4.82152343076e-05	3.32976027316	8.08994752374e-05	3.41364438396	5.13609887795e-05	
-8.22	4.84458505638e-05	3.32975406773	8.12805827639e-05	3.41362800104	5.16145980615e-05	
-8.2	4.86781254085e-05	3.32974783277	8.16643897566e-05	3.4136115413	5.18700902757e-05	
-8.18	4.89120747851e-05	3.3297415681	8.20509217714e-05	3.41359500421	5.21274841575e-05	
-8.16	4.91477148292e-05	3.32973527348	8.24402046669e-05	3.41357838922	5.23867986734e-05	
-8.14	4.93850618708e-05	3.3297289487	8.28322646095e-05	3.41356169577	5.26480530251e-05	
-8.12	4.96241324377e-05	3.32972259356	8.32271280771e-05	3.41354492332	5.29112666525e-05	
-8.1	4.98649432585e-05	3.32971620782	8.36248218644e-05	3.41352807129	5.31764592379e-05	
-8.08	5.01075112653e-05	3.32970979127	8.40253730868e-05	3.41351113913	5.34436507099e-05	
-8.06	5.0351853596e-05	3.32970334369	8.44288091848e-05	3.41349412625	5.37128612466e-05	
-8.04	5.05979875988e-05	3.32969686484	8.48351579299e-05	3.41347703207	5.39841112798e-05	
-8.02	5.08459308337e-05	3.3296903545	8.52444474278e-05	3.41345985603	5.42574214993e-05	
-8.0	5.10957010766e-05	3.32968381244	8.56567061248e-05	3.41344259751	5.45328128562e-05	
-7.98	5.13473163228e-05	3.32967723843	8.60719628112e-05	3.41342525594	5.48103065676e-05	
-7.96	5.16007947887e-05	3.32967063223	8.64902466277e-05	3.41340783071	5.50899241204e-05	
-7.94	5.18561549171e-05	3.32966399361	8.69115870697e-05	3.4133903212	5.53716872755e-05	
-7.92	5.21134153787e-05	3.32965732232	8.7336013993e-05	3.41337272682	5.56556180723e-05	
